StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q1,Q4,FL_9_DO
2025-08-09 16:57:13,2025-08-09 17:01:16,IP Address,100,243,True,2025-08-09 17:01:16,R_7kRk7xsyJgqyFHZ,anonymous,EN,613e157ccd6af6049001ce25,Very likely AI-generated,The vocabulary and the very formal writing style with an excessive amount of details that make it almost not friendly.,Med_human
2025-08-09 16:56:13,2025-08-09 17:01:35,IP Address,100,322,True,2025-08-09 17:01:36,R_5VQVKiA25qmt54d,anonymous,EN,6602b510685c4e9b76676c36,Very likely AI-generated,"sentence structure, many ""ings,"" some awkward phrases, though not 100% sure it's all AI",Med_ai
2025-08-09 16:55:15,2025-08-09 17:01:40,IP Address,100,384,True,2025-08-09 17:01:40,R_3L0wLuzDL5P7jvo,anonymous,EN,6765fa580322ba6603282f81,Somewhat likely human-written,The entire report did not seem worded like AI systems tend to write.  It seemed more human.,Med_human
2025-08-09 16:59:42,2025-08-09 17:02:55,IP Address,100,192,True,2025-08-09 17:02:56,R_5Cp8k7lCJTGd4tX,anonymous,EN,67018afb7f8bf0bc66daf520,Somewhat likely AI-generated,"The content is very lengthy and very technical, it would make sense that the content would be AI generated with human based inputs. ",HR_human
2025-08-09 17:02:55,2025-08-09 17:04:04,IP Address,100,68,True,2025-08-09 17:04:05,R_7WPXjPs4Q2o6xB7,anonymous,EN,66ecae7c719f9db1fdc9c708,Very likely human-written,It read quite natural to me with no glaring AI patterns,Med_human
2025-08-09 16:55:48,2025-08-09 17:04:05,IP Address,100,496,True,2025-08-09 17:04:05,R_6HpBbU6Tt0CI33b,anonymous,EN,65c10fc4bfa12f9fbcfda656,Somewhat likely human-written,The text is easy to read and very well detailed. All the analyses are presented in a chronological order.,Med_ai
2025-08-09 17:01:49,2025-08-09 17:04:05,IP Address,100,135,True,2025-08-09 17:04:05,R_3gRXBVrvu8FWoVZ,anonymous,EN,6758947c0ae39461d9fc6987,Equally likely human-written or AI-generated,The report was full of facts where it seemed AI generated but there were other features of human influence.,HR_human
2025-08-09 17:01:26,2025-08-09 17:04:42,IP Address,100,196,True,2025-08-09 17:04:43,R_7ogQieO6YBT3E9b,anonymous,EN,67639cb846231603c8e979cd,Somewhat likely AI-generated,"The text was very dry and impersonal, which I would expect in financial news, but there also seemed to be a bias toward EyePoint that I didn't quite understand, given the factors that I saw.",Med_ai
2025-08-09 16:59:15,2025-08-09 17:06:28,IP Address,100,433,True,2025-08-09 17:06:28,R_7igIf0kNm1kOoah,anonymous,EN,606e8e8337c79e219214af3b,Very likely AI-generated,"There wasn't as much opinion to it and it was more data driven. When a person makes a financial comment, they add more feelings and opinions.",HR_human
2025-08-09 17:05:00,2025-08-09 17:06:35,IP Address,100,95,True,2025-08-09 17:06:36,R_3CVLBqNMMNU4VBy,anonymous,EN,678850e350af39b7032dd102,Equally likely human-written or AI-generated,"Some long AI-like sentences and unusal words, but I really couldn't tell to be honest.",Med_ai
2025-08-09 17:06:50,2025-08-09 17:08:51,IP Address,100,121,True,2025-08-09 17:08:51,R_6kgClCNvUyvfFBz,anonymous,EN,672da8c47dddf2de17d21700,Equally likely human-written or AI-generated,I would d guess it is either a professional (human) writer or one of the more advanced/recent LLMs trained to write in this way.,Med_ai
2025-08-09 17:02:55,2025-08-09 17:10:49,IP Address,100,474,True,2025-08-09 17:10:50,R_6r3c6304zpAfnPS,anonymous,EN,66077f409f9052bc169c56de,Very likely human-written,"The sentence structure seems thorough, but not overly complex. There aren't a lot of unnecessary details, which is a mistake that AI tends to make. The findings appear to be genuine from the reporter.",Med_human
2025-08-09 17:05:20,2025-08-09 17:11:22,IP Address,100,361,True,2025-08-09 17:11:22,R_7rfUvCgp9bhezx7,anonymous,EN,675cf75e3c237ff931f4a43e,Somewhat likely human-written,The writing style was fairly natural and the reasoning was on par.,HR_ai
2025-08-09 17:09:51,2025-08-09 17:12:10,IP Address,100,139,True,2025-08-09 17:12:10,R_5frFvuwrtVoGVoQ,anonymous,EN,6761ccebb4be05b026280652,Equally likely human-written or AI-generated,There were no clear AI signs that I usually look for and notice (not many em dashes and words like 'delve' and 'intricate').,HR_ai
2025-08-09 17:09:18,2025-08-09 17:14:01,IP Address,100,283,True,2025-08-09 17:14:02,R_5MIxbMCDDlOnCkp,anonymous,EN,66d1fdd400acfdbc181f41e0,Equally likely human-written or AI-generated,"It was mostly analysis driven without any emotion involved. there were no ""mitigating"" biased based opinions about the various fields.",HR_human
2025-08-09 17:14:58,2025-08-09 17:17:13,IP Address,100,134,True,2025-08-09 17:17:13,R_6spOP0sQ12a4Aii,anonymous,EN,5faefcc22be93b11829e84df,Somewhat likely AI-generated,The structure is consistent and polished but lacks the imperfection of human writing.,HR_human
2025-08-09 17:14:56,2025-08-09 17:17:33,IP Address,100,156,True,2025-08-09 17:17:33,R_5qdrSRrfwrMRt5X,anonymous,EN,667202328ae5a13b88528a04,Somewhat likely human-written,The use of data figures and descriptive writing made me think this was somewhat likely to be a human.,Med_ai
2025-08-09 17:15:54,2025-08-09 17:18:54,IP Address,100,180,True,2025-08-09 17:18:55,R_12QLE2qN6X6YLcS,anonymous,EN,67ed9a4fd30cf704f5245138,Somewhat likely AI-generated,"The report is a classic investment analysis. Its structure is highly formulaic and follows a predictable pattern. The language is professional and direct, but it lacks unique stylistic flourishes. The text is efficient and error-free. It uses standard financial report phrasing. This combination of traits is common in modern financial content. These are also common characteristics of AI-generated work. You notice this consistency.",HR_ai
2025-08-09 17:11:10,2025-08-09 17:19:25,IP Address,100,495,True,2025-08-09 17:19:25,R_1ZW77X26YFLgRqL,anonymous,EN,678f0bb28ec3307e4f1afb78,Equally likely human-written or AI-generated,It was a naration of factrs and figures that could have been collected from a number of sources,Med_human
2025-08-09 17:19:02,2025-08-09 17:20:53,IP Address,100,111,True,2025-08-09 17:20:53,R_7D0rsfd9ZgMP850,anonymous,EN,636166ea0cf87f7a07f95810,Equally likely human-written or AI-generated,really couldn't tell,HR_ai
2025-08-09 17:22:17,2025-08-09 17:24:25,IP Address,100,127,True,2025-08-09 17:24:25,R_7Jfvgk5ySZFDge5,anonymous,EN,680c27edb9c3eef3f359837a,Somewhat likely human-written,It felt like natural human writing overall but it is difficult to tell these days as generative AI can produce much less obviously AI generated output.,HR_human
2025-08-09 17:23:38,2025-08-09 17:24:49,IP Address,100,70,True,2025-08-09 17:24:49,R_5Pp3DC3WUp4KFlb,anonymous,EN,661aa46607e2174c41fdcfea,Somewhat likely AI-generated,The analysis was not opinionated from a human perspective.  Lots of valuable facts but did not seem like it was written from a human..,Med_human
2025-08-09 17:17:23,2025-08-09 17:24:55,IP Address,100,452,True,2025-08-09 17:24:56,R_32xqGhtu4cgeqgV,anonymous,EN,67d6f60c73ddec2e3ccfe0b8,Somewhat likely AI-generated,"It is very formulaic in its structure, its tone is always neutral, which would lead one to think that it is the work of an AI, but the fact that the financial information they present is accurate and well-contextualized could be a sign of human influence.",Med_ai
2025-08-09 17:23:31,2025-08-09 17:28:46,IP Address,100,314,True,2025-08-09 17:28:46,R_3fNWG6r3R8URQrw,anonymous,EN,67db713a7e41b82d0894bca8,Very likely human-written,"The report feels mostly human-written, although its polished structure suggest it could have been AI-assisted.",HR_human
2025-08-09 17:32:56,2025-08-09 17:34:39,IP Address,100,102,True,2025-08-09 17:34:39,R_5bWBICWTkuyZvSD,anonymous,EN,5dd38420a71de83809342ca3,Equally likely human-written or AI-generated,I didn't get an obvious AI vibe but I can't always tell for sure.,Med_ai
2025-08-09 17:33:57,2025-08-09 17:34:45,IP Address,100,48,True,2025-08-09 17:34:46,R_5Qs8BjC2u2dw8FC,anonymous,EN,659584067824b64f084b6c76,Definitely AI-generated,"It was so difficult to follow. Words didn't flow inuitively. The formatting was also very AI. ",HR_ai
2025-08-09 17:31:53,2025-08-09 17:34:50,IP Address,100,177,True,2025-08-09 17:34:50,R_7TXowpKqohNwBWE,anonymous,EN,6669f4d73f6ea3be1d2b7eae,Somewhat likely AI-generated,"There were many long sentences that seemed artificial and boring. ",Med_ai
2025-08-09 17:31:54,2025-08-09 17:34:57,IP Address,100,182,True,2025-08-09 17:34:57,R_70BJms6MrIDxXNs,anonymous,EN,664639dd4711fff56d77ada4,Very likely human-written,"The report feels natural and well structured like something a real analyst would write. It includes clear sections and uses specific financial terms that show a good understanding of the industry. The language is balanced and not overly robotic, which makes it sound genuine. ",HR_ai
2025-08-09 17:34:52,2025-08-09 17:36:31,IP Address,100,99,True,2025-08-09 17:36:32,R_3qwCIrB0uFEGQtH,anonymous,EN,653703627539f3a8b2ed4af3,Very likely human-written,"It felt more human overall. There were no tell-tale signs of bad AI writing. ",HR_human
2025-08-09 17:34:08,2025-08-09 17:39:01,IP Address,100,292,True,2025-08-09 17:39:01,R_5hlHbxSbljIzR2V,anonymous,EN,66d965ce6e3feb147144e675,Very likely AI-generated,"It was, in my own opinion,completely unbiased. ",HR_ai
2025-08-09 17:35:11,2025-08-09 17:39:43,IP Address,100,271,True,2025-08-09 17:39:43,R_6rcOhYvUDptYw8z,anonymous,EN,67d5f8a62c137f9a17873486,Very likely AI-generated,"I’d put the chances at about 70% that this report was AI-generated. It’s neatly structured, evenly balanced, and maintains a neutral tone throughout, which feels formulaic. The analysis is clear but somewhat generic, with equal attention given to each company and no strong personal voice. Even the disclaimer reads like standard boilerplate, all of which suggests it might have been created by an algorithm rather than a human analyst.",HR_human
2025-08-09 17:37:18,2025-08-09 17:39:51,IP Address,100,152,True,2025-08-09 17:39:51,R_115m7pJ7GlO7NL7,anonymous,EN,67d333d20a0db283d76baa22,Equally likely human-written or AI-generated,"Not sure. For what it's worth, when I read it I didn't even think about whether it was written by AI or a person or both so if it's AI it wasn't too obvious.",HR_ai
2025-08-09 17:36:51,2025-08-09 17:40:07,IP Address,100,195,True,2025-08-09 17:40:07,R_1MRhIbDIEr4C0tq,anonymous,EN,67e268cbf13dcd115337894c,Somewhat likely human-written,The report provides aspects such as statistics and comprehensive analysis showing human-like research,HR_human
2025-08-09 17:36:43,2025-08-09 17:40:36,IP Address,100,232,True,2025-08-09 17:40:36,R_1EhgfY3bkqMm6Tx,anonymous,EN,66ccdd9f6b12c6ea6fa01f42,Very likely AI-generated,The layout is close to perfect. It comes off as robotic. It is structured very well to the point of me questioning a human has the capabilities to lay something out like this,Med_human
2025-08-09 17:38:04,2025-08-09 17:41:23,IP Address,100,199,True,2025-08-09 17:41:23,R_3pn02ps4QdhQJPs,anonymous,EN,630a8feaa8eef385f72dc1a5,Very likely AI-generated,"The content and consistency of the subject, data give me a sense that it is written by AI. ",Med_human
2025-08-09 17:31:57,2025-08-09 17:41:39,IP Address,100,581,True,2025-08-09 17:41:39,R_3xEGtkK01RrdNC9,anonymous,EN,67db3dd91c05b7278a0aad44,Very likely AI-generated,"The writing style and the structure is very much AI generated ",Med_human
2025-08-09 17:38:16,2025-08-09 17:42:09,IP Address,100,233,True,2025-08-09 17:42:09,R_6IXGMchGDad5sYZ,anonymous,EN,67d333d20a0db283d76baa22,Somewhat likely AI-generated,"It felt like it was detatched non human. ",HR_human
2025-08-09 17:33:58,2025-08-09 17:42:14,IP Address,100,496,True,2025-08-09 17:42:15,R_66xm3sL33xXguAh,anonymous,EN,5dda9b9a9d9e30a06d320ffb,Very likely AI-generated,"The ""Report"" was extremely balanced and repetitive, the latter being a clear giveaway that no human was involved in its writing.",Med_human
2025-08-09 17:41:12,2025-08-09 17:43:23,IP Address,100,130,True,2025-08-09 17:43:23,R_7jZrVPmwvnprGlv,anonymous,EN,67ddadae349017a25925d3dc,Equally likely human-written or AI-generated,"I was more focused on the content and less on how it was created. ",Med_human
2025-08-09 17:32:08,2025-08-09 17:43:50,IP Address,100,701,True,2025-08-09 17:43:50,R_7pA0ix7YI1r0eGe,anonymous,EN,67cf0c70aa43b13b6168ecbf,Definitely human-written,"It feels fully human-written, with detailed analysis, natural flow, and industry-specific insight that doesn’t read like AI text.",HR_ai
2025-08-09 17:43:39,2025-08-09 17:45:11,IP Address,100,91,True,2025-08-09 17:45:11,R_6j8MflCxesqHvnb,anonymous,EN,662692c1abc4830626fccb23,Somewhat likely human-written,The formatting felt a bit more like a usual AI format but the writing/text/phrasing itself felt more human so I am slightly inclined toward human.,HR_human
2025-08-09 17:40:08,2025-08-09 17:45:17,IP Address,100,308,True,2025-08-09 17:45:17,R_1vny8ANG14AKKu5,anonymous,EN,67ba35b0a2aff76b7c7beae0,Very likely AI-generated,Throughout it all it was clear concise punctual and there was no extra things added which tells me it was written by AI,Med_ai
2025-08-09 17:40:13,2025-08-09 17:46:21,IP Address,100,367,True,2025-08-09 17:46:21,R_623XZTlSWlx1GfH,anonymous,EN,6639047d6cee07457d9c13dc,Very likely human-written,"In my opinion it sounds more like a human wrote it because it has lots of very specific facts, numbers, and real-world events that usually come from research, not a generic AI mess. The flow feels like a real analyst’s report, with a clear beginning, middle, and end. The only “AI-ish” thing is that it’s very polished and balanced, but that alone doesn’t prove it’s machinemade.",Med_ai
2025-08-09 17:44:07,2025-08-09 17:47:44,IP Address,100,216,True,2025-08-09 17:47:44,R_7lcN6AHeKdQzrSn,anonymous,EN,6671bcef7ab0a97950b67ed7,Very likely human-written,The factual basis of the analyses and the rather straightforward forecast is definitely a plus in my book,HR_ai
2025-08-09 17:44:08,2025-08-09 17:48:20,IP Address,100,251,True,2025-08-09 17:48:20,R_7rYDn3TUdF2xUCh,anonymous,EN,5c1dc77ee2d9150001b5b70e,Somewhat likely human-written,"When requesting reports or breakdowns of various information from AI, particularly ChatGPT, it has a tendency to break responses into numbered or lettered segments making larger points with bulleted details beneath each, which this report does not have. Further, whereas AI systems tend to take a measured approach, providing pros and cons of all information without making any particularly strong declarative statements, this report ultimately singles out Kforce as the clear strongest contender.",HR_human
2025-08-09 17:46:20,2025-08-09 17:48:43,IP Address,100,143,True,2025-08-09 17:48:43,R_1KfeJmwnjNiUdcI,anonymous,EN,5cb128db0d14d3001838eef5,Equally likely human-written or AI-generated,it was well organized like an ai would but cant really tell,HR_ai
2025-08-09 17:44:59,2025-08-09 17:49:12,IP Address,100,253,True,2025-08-09 17:49:13,R_7RUtmM9kai2GquR,anonymous,EN,6650ba88f2e4099801ab8357,Equally likely human-written or AI-generated,"The report was clear, detailed and professional. It had numbers, facts and good structure. The style could be made by either by a smart human or a smart AI.",Med_ai
2025-08-09 17:40:18,2025-08-09 17:49:47,IP Address,100,569,True,2025-08-09 17:49:48,R_1cFwQmeEGvjZeuJ,anonymous,EN,5ed559e5afbd830e2117ed55,Very likely AI-generated,"These two aspects heavily influenced my rating:
1) Frequent use of hyphenated words like ""high-risk"".
2) The excessive use of technical jargon.",Med_human
2025-08-09 17:48:11,2025-08-09 17:50:59,IP Address,100,168,True,2025-08-09 17:51:00,R_3rtKwS7Xk0IpKql,anonymous,EN,623a852297e9f3cf18936579,Very likely AI-generated,i guess it was more gut feeling based on other things I've seen generated by AI vs humans.,Med_ai
2025-08-09 17:48:52,2025-08-09 17:51:36,IP Address,100,164,True,2025-08-09 17:51:37,R_678skOCUu1ejKn8,anonymous,EN,6630f318d0d884cf785e436f,Very likely AI-generated,It's highly structured and there's a lack of personal voice,Med_human
2025-08-09 17:51:13,2025-08-09 17:51:50,IP Address,100,36,True,2025-08-09 17:51:50,R_63ukzrKt1OQAmzv,anonymous,EN,67ab4ff4caebeca5cf59a5c1,Equally likely human-written or AI-generated,I am not sure it is possible to tell with real confidence.,HR_ai
2025-08-09 17:51:56,2025-08-09 17:52:58,IP Address,100,62,True,2025-08-09 17:52:59,R_7wP1Bo4O0ANGgW5,anonymous,EN,5bcc2cee0ba8a400012592f9,Somewhat likely human-written,Nothing obviously indicating AI as far as I recall,HR_human
2025-08-09 17:46:12,2025-08-09 17:53:31,IP Address,100,439,True,2025-08-09 17:53:32,R_7IaWeReu3bRs8BZ,anonymous,EN,6839b6137cc1aa27ad7b85b7,Equally likely human-written or AI-generated,It was good it is difficult to tell the difference between AI generated and human written,Med_human
2025-08-09 17:53:03,2025-08-09 17:54:27,IP Address,100,83,True,2025-08-09 17:54:27,R_57dJ1R2CSH1ivGc,anonymous,EN,63e40cde6487028afe7bec5d,Somewhat likely AI-generated,"It *feels* a bit more AI but I can't really explain why, and I am not too confident I am right.  Maybe it's a mix.",Med_ai
2025-08-09 17:54:32,2025-08-09 17:56:38,IP Address,100,125,True,2025-08-09 17:56:38,R_7mJLqgf1B21bpDt,anonymous,EN,67acfb244f95ff16b8c04704,Very likely human-written,I have a pretty good ear for this usually and noting suggested to me that AI was involved here in the writing itself. I am not sure if it was used in other parts of the process though.,Med_human
2025-08-09 17:54:05,2025-08-09 17:56:57,IP Address,100,172,True,2025-08-09 17:56:58,R_1MpcqR5b8oy9HDr,anonymous,EN,664e1a71d20f44f2ffe39360,Very likely AI-generated,I wasn’t 100% sure but it felt like it was written by an AI because it was very analytical and stats driven. It didn’t seem like it had much of a human element to it.,HR_ai
2025-08-09 18:00:07,2025-08-09 18:01:46,IP Address,100,98,True,2025-08-09 18:01:46,R_5G3Z5UiEhyCRT0I,anonymous,EN,59e7477e3e4b5a00016aa4d2,Somewhat likely AI-generated,it seemed just a little too technical with no hint of human emotion.,HR_human
2025-08-09 17:59:29,2025-08-09 18:02:38,IP Address,100,189,True,2025-08-09 18:02:38,R_64Jl4lQLdW4924L,anonymous,EN,5d5c4a4274abca000158631b,Very likely AI-generated,"The details appeared to have a more formal, robotic landscape, which felt like an AI tool had actually written the document. ",HR_ai
2025-08-09 18:01:23,2025-08-09 18:03:53,IP Address,100,150,True,2025-08-09 18:03:53,R_6hFOYzM9udNgYEn,anonymous,EN,66087779533f1a209a98e0d8,Somewhat likely AI-generated,"It seemed really technical and hard to understand like the writer doesn't really understand their audience even if it is financial reports. ",Med_ai
2025-08-09 17:59:15,2025-08-09 18:04:33,IP Address,100,318,True,2025-08-09 18:04:33,R_3FYa9fUh0HXxvSV,anonymous,EN,67df2438f087a74ea30f779b,Definitely AI-generated,it neutral tone suggest an AI-generated style.,Med_human
2025-08-09 17:59:08,2025-08-09 18:04:37,IP Address,100,329,True,2025-08-09 18:04:38,R_1D0tG5FaTzi4mId,anonymous,EN,65b929230cff388d15dd5c4c,Very likely AI-generated,The text didn't have a good flow when reading the text.,Med_ai
2025-08-09 18:00:40,2025-08-09 18:06:31,IP Address,100,350,True,2025-08-09 18:06:31,R_1yQe5lOP2wlqFLb,anonymous,EN,6272bd000471b3d9ed5d4da5,Very likely AI-generated,It just didn't feel like human communication. Very exact and direct.,HR_ai
2025-08-09 18:01:26,2025-08-09 18:07:16,IP Address,100,349,True,2025-08-09 18:07:16,R_1LPxj9DiSTxHUdP,anonymous,EN,675c6db4887ccdd0d3d15534,Definitely AI-generated,"It presented the information in a very methodical manner and had little to no subjectivity.  It analysed the data and gave its recommendation based on historical and future trends for each industry.  ",HR_ai
2025-08-09 18:04:05,2025-08-09 18:07:23,IP Address,100,198,True,2025-08-09 18:07:23,R_6BSpHccx3Ojkz0E,anonymous,EN,673b8d1448db4a031a4a90b2,Equally likely human-written or AI-generated,"It's very well organized which might make you believe it's a.i. generated. On the other side, it's not very lengthy in each category so maybe it was written by a human. This is not my expertise.  I picked the middle ground 
because of these reasons. ",HR_ai
2025-08-09 18:05:20,2025-08-09 18:08:04,IP Address,100,163,True,2025-08-09 18:08:04,R_1eRm149lEjZcjSP,anonymous,EN,5df967d2f6191f6e87b236e6,Very likely AI-generated,I think the detailed analysis and lack of bias is pretty AI like,Med_ai
2025-08-09 18:03:28,2025-08-09 18:08:06,IP Address,100,278,True,2025-08-09 18:08:07,R_1FRQG9nB1TDqCzC,anonymous,EN,65396dfcb651ad024da200d6,Very likely AI-generated,"Even though the report seemed standard dressed, I felt that the report seemed too detailed and cumbersome to be done by a human being.",Med_human
2025-08-09 18:02:14,2025-08-09 18:10:13,IP Address,100,479,True,2025-08-09 18:10:14,R_1be5rWmAvZ6ocj7,anonymous,EN,60e8b06bfb1c78d450ae9f79,Somewhat likely AI-generated,"Many sentences are of similar length and tone, which can make the prose feel a bit formulaic.",Med_ai
2025-08-09 18:08:48,2025-08-09 18:14:04,IP Address,100,315,True,2025-08-09 18:14:04,R_5rT2RQ5YOfzXoE2,anonymous,EN,681390b97696dc1d23701bd7,Somewhat likely AI-generated,"It is somewhat likely AI generated because of of the length and also the choice of word construction ",Med_human
2025-08-09 18:03:54,2025-08-09 18:15:00,IP Address,100,665,True,2025-08-09 18:15:00,R_1P0iqYGQHIkVgzv,anonymous,EN,677867dd92e5cc616ab5ffce,Equally likely human-written or AI-generated,It didn't seem artifical in any way but it certainly could've been written by AI.,HR_human
2025-08-09 18:02:07,2025-08-09 18:15:17,IP Address,100,790,True,2025-08-09 18:15:18,R_79prSexMXc5I3q9,anonymous,EN,67e70a61f963fecfc78db7ab,Very likely AI-generated,It reads like a summary.,Med_human
2025-08-09 18:09:51,2025-08-09 18:17:03,IP Address,100,431,True,2025-08-09 18:17:03,R_54YAf68BJJia8al,anonymous,EN,63e630188c3e4ac4a92b1ff5,Somewhat likely human-written,I thought the writing came across as a human whose was familiar with finance and analyzing companies in terms of their investment potential. AI could use financial terms in inappropriate ways.,Med_ai
2025-08-09 18:13:35,2025-08-09 18:18:00,IP Address,100,265,True,2025-08-09 18:18:01,R_5qlpICpcErtqaAv,anonymous,EN,65f353147653b5d6eee93ebe,Very likely human-written,Different sentiment expressed. Along with weighing pros and cons. It could be a mix of both ai and human,HR_human
2025-08-09 18:07:54,2025-08-09 18:22:14,IP Address,100,859,True,2025-08-09 18:22:14,R_3nkjDFge51ifvRG,anonymous,EN,5e6bdd2a3ea572199bb7f6b6,Somewhat likely AI-generated,"This is the type of task that some AIs do very well.  Basic number-crunching and basic ""understanding"" of the three industry sectors. The ""insights are probably scraped from a quarterly report.",HR_ai
2025-08-09 18:18:06,2025-08-09 18:22:30,IP Address,100,263,True,2025-08-09 18:22:30,R_7flcvxPLRlHetIq,anonymous,EN,63cac85f8519383ef0422593,Very likely human-written,The speech seemed more human like than the usual AI kind of text,HR_ai
2025-08-09 18:19:36,2025-08-09 18:22:35,IP Address,100,178,True,2025-08-09 18:22:36,R_6dEMnZm8y3KXuAS,anonymous,EN,658e4000dd1140be88c9625a,Very likely AI-generated,"The wording was very technical, and was difficult to read through while staying engaged.",Med_ai
2025-08-09 18:17:47,2025-08-09 18:23:01,IP Address,100,314,True,2025-08-09 18:23:02,R_3A1fG1fXVQpMAQp,anonymous,EN,62ba066a4093b931382ec48f,Very likely AI-generated," Very technical in nature, and I feel that it spoke as a computer might speak, rather then a person.",HR_ai
2025-08-09 18:16:08,2025-08-09 18:23:36,IP Address,100,447,True,2025-08-09 18:23:36,R_3oOTkr4JPBYkGtz,anonymous,EN,66c0f464e0ff62798027b486,Very likely AI-generated,"The text was very structured, formal and evenly balanced with no strong personal voice. It contained repetitive sentence patterns and smooth transition, which is very common for AI writing. ",Med_ai
2025-08-09 18:18:37,2025-08-09 18:23:44,IP Address,100,306,True,2025-08-09 18:23:44,R_78Vcz1vdxmFi0Zj,anonymous,EN,6134d8a566bc3dffe880e879,Definitely AI-generated,High Risk but good opportunity,Med_ai
2025-08-09 18:21:49,2025-08-09 18:25:11,IP Address,100,201,True,2025-08-09 18:25:11,R_745XN09ecsl5O0m,anonymous,EN,662692c1abc4830626fccb23,Very likely AI-generated,"It was extremely technical and lengthy. It was very analytics and I do think it read like something AI would produce ",Med_human
2025-08-09 18:25:38,2025-08-09 18:32:34,IP Address,100,415,True,2025-08-09 18:32:34,R_6kMLtKgDZXkR5AS,anonymous,EN,6654c3056acf3abb982b23ab,Equally likely human-written or AI-generated,"There really isn't anything that stood out. I think just the fact that nowadays, so much is written by or with the help of AI, you just sort of assume there was some sort of assistance.",HR_ai
2025-08-09 18:28:24,2025-08-09 18:32:47,IP Address,100,263,True,2025-08-09 18:32:48,R_7iOI7oCSW67G7sJ,anonymous,EN,6785814920d441d51253393c,Very likely human-written,"It reads more like a professionally written equity research note than a generic AI article, but the polished, formulaic structure means an AI-assisted drafting process is possible.",HR_ai
