StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,HR_AI_no_no_no,HR_AI_yes_yes_yes,HR_AI_no_yes_yes,HR_AI_yes_no_yes,HR_AI_yes_yes_no,HR_AI_no_no_yes,HR_AI_no_yes_no,HR_AI_yes_no_no,HR_AI_none,HR_Human_no_no_no,HR_Human_yes_yes_yes,HR_Human_no_yes_yes,HR_Human_yes_no_yes,HR_Human_no_no_yes,HR_Human_yes_yes_no,HR_Human_no_yes_no,HR_Human_yes_no_no,HR_Human_none,Med_AI_no_no_no,Med_AI_yes_yes_yes,Med_AI_no_yes_yes,Med_AI_yes_no_yes,Med_AI_yes_yes_no,Med_AI_no_no_yes,Med_AI_no_yes_no,Med_AI_yes_no_no,Med_AI_none,Med_Human_no_no_no,Med_Human_yes_yes_ye,Med_Human_no_yes_yes,Med_Human_yes_no_yes,Med_Human_yes_yes_no,Med_Human_no_no_yes,Med_Human_no_yes_no,Med_Human_yes_no_no,Med_Human_none,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,Q19,Q20,Q20_4_TEXT,Q21,Q21_8_TEXT,Q22,Q23,Q24,Q25,AnalystName,ReportType,FL_3_DO,FL_5_DO
2025-08-18 10:02:50,2025-08-18 10:05:35,IP Address,100,164,True,2025-08-18 10:05:36,R_20P2LNcqMkvHS0H,anonymous,EN,0.8999999761581421,66eeb0882847455f5d1856db,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,3,5,2,6,5,4=Neutral,5,5,3,4=Neutral,5,6,5,7=Strongly agree,6,1=Strongly Disagree,6,1964,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Never,Sarah Brown,HR,FL_45,FL_96
2025-08-18 09:59:21,2025-08-18 10:05:49,IP Address,100,388,True,2025-08-18 10:05:49,R_8ZOgHTcdEcZOori,anonymous,EN,1,5c5b55ce32810e0001c3456b,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,5,6,4=Neutral,1=Strongly Disagree,5,6,2,6,5,5,7=Strongly agree,2,6,2,7=Strongly agree,2,5,2,1967,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Moderate: I make personal investments from time to time.,Less than once a month,J.M. Wright,Med,FL_43,FL_22
2025-08-18 09:56:55,2025-08-18 10:06:25,IP Address,100,570,True,2025-08-18 10:06:25,R_8J41wXqisBFGhj8,anonymous,EN,0.8999999761581421,602c0fc2eff74b4748e9b41e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,7=Extreme amount of effort,6,6,6,3,4=Neutral,2,4=Neutral,6,6,6,4=Neutral,3,4=Neutral,2,5,3,4=Neutral,1990,Male / Man,,"Black or African American,White / Caucasian",,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,Med,FL_43,FL_116
2025-08-18 09:59:35,2025-08-18 10:06:46,IP Address,100,431,True,2025-08-18 10:06:47,R_8lQKJ5RS1N38ugF,anonymous,EN,1,67fffee26ec983c07f3a2abd,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,4=Average amount of effort,5,4=Neutral,3,5,5,1=Strongly Disagree,2,5,6,6,2,6,2,5,2,6,3,1972,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$25,000 to $49,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Christopher Davis,Med,FL_44,FL_110
2025-08-18 10:02:53,2025-08-18 10:06:47,IP Address,100,234,True,2025-08-18 10:06:48,R_81jxSArKipdVNHW,anonymous,EN,0.800000011920929,66cdeab6f33b221365775640,,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,5,6,5,2,5,6,3,5,3,2,5,3,2,5,7=Strongly agree,3,5,4=Neutral,1992,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Daily or almost daily,J.M. Wright,HR,FL_43,FL_19
2025-08-18 10:01:45,2025-08-18 10:06:48,IP Address,100,302,True,2025-08-18 10:06:48,R_1nc182eaJdqJbVU,anonymous,EN,0.8999999761581421,57c725d89a5f4f0001f661bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,6,6,6,2,5,6,6,6,2,2,5,3,5,3,5,3,5,3,1973,Male / Man,,White / Caucasian,,Office and Administrative Support,"$100,000 to $149,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,Med,FL_43,FL_118
2025-08-18 09:59:24,2025-08-18 10:06:56,IP Address,100,452,True,2025-08-18 10:06:57,R_2t8KXKxUiSwLsMV,anonymous,EN,1,676aa442d14c0860ded4bacf,,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,5,2,3,5,5,5,5,2,5,4=Neutral,5,2,3,4=Neutral,5,4=Neutral,1989,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_18
2025-08-18 09:59:44,2025-08-18 10:06:58,IP Address,100,433,True,2025-08-18 10:06:58,R_8jxE1J8nBAZbBYt,anonymous,EN,1,5f27f6a0e13d4e05d048335f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,5,4=Average amount of time,5,5,3,4=Neutral,5,5,3,2,4=Neutral,4=Neutral,6,3,2,3,5,3,1971,Male / Man,,White / Caucasian,,"Service Industry (e.g., hospitality, food service, protective services)","$50,000 to $74,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_114
2025-08-18 10:02:34,2025-08-18 10:07:08,IP Address,100,273,True,2025-08-18 10:07:09,R_7r8ELQZFHmms8jm,anonymous,EN,1,5b98940f754b700001f0f15c,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7=Strongly agree,1=Strongly Disagree,1=Strongly Disagree,4=Neutral,7=Strongly agree,7=Strongly agree,1=Strongly Disagree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,1965,Female / Woman,,White / Caucasian,,Office and Administrative Support,"Less than $25,000",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,HR,FL_43,FL_82
2025-08-18 09:56:38,2025-08-18 10:07:11,IP Address,100,633,True,2025-08-18 10:07:12,R_1DuUSSxWzNxiTBV,anonymous,EN,1,60da18dba560960ea60a8fe5,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,2,5,5,3,4=Neutral,3,2,4=Neutral,3,4=Neutral,3,5,2,5,2,1990,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,HR,FL_45,FL_98
2025-08-18 10:02:55,2025-08-18 10:07:23,IP Address,100,267,True,2025-08-18 10:07:23,R_83wJEiVOXZhF3DH,anonymous,EN,1,5ecd61476e04500905a6eed2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,5,5,5,3,4=Neutral,5,4=Neutral,5,3,3,6,4=Neutral,6,3,2,4=Neutral,5,3,1996,Female / Woman,,White / Caucasian,,Office and Administrative Support,"$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a week,Christopher Davis,Med,FL_44,FL_22
2025-08-18 10:00:50,2025-08-18 10:07:27,IP Address,100,397,True,2025-08-18 10:07:28,R_25EYzN981jtqz3K,anonymous,EN,1,5e5ae20eb542012dc2b9713c,,,,,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,5,3,5,5,4=Neutral,4=Neutral,3,3,4=Neutral,3,4=Neutral,2,6,2,5,3,1987,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Sarah Brown,HR,FL_45,FL_78
2025-08-18 10:02:59,2025-08-18 10:07:30,IP Address,100,270,True,2025-08-18 10:07:30,R_7FRJkhu6efcnoqx,anonymous,EN,1,674b46b00690584bddd6e33b,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,5,5,1=Strongly Disagree,1=Strongly Disagree,4=Neutral,4=Neutral,3,5,5,3,2,4=Neutral,3,5,2001,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Limited: I have some experience but don't invest often.,A few times a week,J.M. Wright,HR,FL_43,FL_80
2025-08-18 10:00:05,2025-08-18 10:07:30,IP Address,100,444,True,2025-08-18 10:07:31,R_3D1z9oiP3oDTupF,anonymous,EN,1,67731006e7899dc216d59b95,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,6,6,6,2,6,6,1=Strongly Disagree,2,6,6,3,5,6,2,6,6,3,2,1987,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,Med,FL_45,FL_21
2025-08-18 10:04:18,2025-08-18 10:07:39,IP Address,100,201,True,2025-08-18 10:07:40,R_2F2tRD0IXsTwDK5,anonymous,EN,1,628f86a4d49833cf00ff2606,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,5,3,7=Strongly agree,5,5,7=Strongly agree,1=Strongly Disagree,4=Neutral,5,1=Strongly Disagree,7=Strongly agree,2,7=Strongly agree,3,4=Neutral,3,1997,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a month,Christopher Davis,HR,FL_44,FL_92
2025-08-18 10:02:42,2025-08-18 10:07:44,IP Address,100,302,True,2025-08-18 10:07:46,R_8p8JoGnJ46bhQfT,anonymous,EN,1,5f47d8f1e974b12169221876,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,3,4=Neutral,5,5,3,4=Neutral,3,3,4=Neutral,3,5,3,5,3,5,1991,Female / Woman,,White / Caucasian,,Office and Administrative Support,"$100,000 to $149,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_74
2025-08-18 10:02:54,2025-08-18 10:08:00,IP Address,100,305,True,2025-08-18 10:08:00,R_7emkrlpO60XP4v9,anonymous,EN,1,650708cb2c0e95bedcffc923,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,6,6,6,4=Neutral,4=Neutral,5,3,5,3,4=Neutral,5,2,4=Neutral,2,5,3,4=Neutral,2,1996,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a month,Sarah Brown,Med,FL_45,FL_106
2025-08-18 10:02:55,2025-08-18 10:08:07,IP Address,100,312,True,2025-08-18 10:08:08,R_6k0ubLIpQJAVExk,anonymous,EN,1,61575f1257634f8182c29c16,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4=Average amount of time,5,3,4=Neutral,3,2,2,5,5,3,5,3,3,5,4=Neutral,3,3,1991,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a month,Sarah Brown,HR,FL_45,FL_17
2025-08-18 10:03:04,2025-08-18 10:08:14,IP Address,100,310,True,2025-08-18 10:08:14,R_3NrklYVSnjzyd6A,anonymous,EN,1,5ec43cd675f02731275cafab,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,,5,4=Average amount of time,4=Neutral,2,3,4=Neutral,3,2,5,4=Neutral,3,4=Neutral,4=Neutral,7=Strongly agree,4=Neutral,3,2,5,1991,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,Less than once a month,Sarah Brown,Med,FL_45,FL_110
2025-08-18 10:02:47,2025-08-18 10:08:20,IP Address,100,333,True,2025-08-18 10:08:21,R_5OThbUsiJk4vdAL,anonymous,EN,1,663aa6420a964c2a7740b9d7,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,5,5,4=Neutral,4=Neutral,5,5,5,5,3,3,5,4=Neutral,4=Neutral,3,5,3,5,5,1987,Female / Woman,,"Hispanic or Latino,White / Caucasian",,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_112
2025-08-18 10:02:37,2025-08-18 10:08:25,IP Address,100,347,True,2025-08-18 10:08:25,R_2z0byCtRXOJLrnX,anonymous,EN,1,6659fa0eb4d2041c2fe81f61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,5,2,5,3,3,5,2,5,5,5,3,5,5,3,5,5,5,5,1989,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Sarah Brown,Med,FL_45,FL_124
2025-08-18 10:00:27,2025-08-18 10:08:25,IP Address,100,478,True,2025-08-18 10:08:26,R_2CrM5iMsvQR3zZU,anonymous,EN,1,587e30b5cbacd2000114b08e,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,3,3,3,4=Neutral,5,2,2,4=Neutral,5,4=Neutral,4=Neutral,3,5,6,4=Neutral,3,5,1964,Male / Man,,White / Caucasian,,"Service Industry (e.g., hospitality, food service, protective services)","$25,000 to $49,999",Moderate: I make personal investments from time to time.,A few times a month,Sarah Brown,HR,FL_45,FL_76
